GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,310M300US19660,19660,"United States - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590294,590515,591964,595246,600681,609394,622251,636843,649202
0100000US,,United States,310M300US19740,19740,"United States - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2543482,2543592,2554399,2599629,2646151,2696308,2749827,2807211,2851848,2888227
0100000US,,United States,310M300US19780,19780,"United States - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",569633,569633,571967,580961,589758,600366,611977,622566,634740,645911
0100000US,,United States,310M300US19820,19820,"United States - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4296250,4296317,4291287,4288618,4295646,4298541,4303366,4302282,4305869,4313002
0100000US,,United States,314M300US1982019804,1982019804,"United States - Detroit-Warren-Dearborn, MI Metro Area - Detroit-Dearborn-Livonia, MI Metro Division","Detroit-Dearborn-Livonia, MI Metro Division",1820584,1820573,1815069,1802164,1794073,1777790,1769007,1762098,1756598,1753616
0100000US,,United States,314M300US1982047664,1982047664,"United States - Detroit-Warren-Dearborn, MI Metro Area - Warren-Troy-Farmington Hills, MI Metro Division","Warren-Troy-Farmington Hills, MI Metro Division",2475666,2475744,2476218,2486454,2501573,2520751,2534359,2540184,2549271,2559386
0100000US,,United States,310M300US20020,20020,"United States - Dothan, AL Metro Area","Dothan, AL Metro Area",145639,145643,145870,146604,147447,147439,147826,147990,147781,147914
0100000US,,United States,310M300US20100,20100,"United States - Dover, DE Metro Area","Dover, DE Metro Area",162310,162349,162973,165149,167442,169150,171664,173332,174754,176824
0100000US,,United States,310M300US20220,20220,"United States - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93653,93653,93930,94599,95128,95888,96408,96813,96704,97041
0100000US,,United States,310M300US20260,20260,"United States - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279771,279771,279677,279753,279339,279439,279651,279197,278954,278782
